ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2636,Eastern DRC Cookstove Project - South Kivu,OBEN EAC S.A,Energy demand,,VMR0006,Registered,"Congo, The Democratic Republic of The",189900,Africa,10/8/2022,6/10/2020,6/9/2027
2623,Komaza Smallholder Farmer Forestry Kenya,Komaza Group Inc.,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registered,Kenya,286630,Africa,11/8/2023,5/1/2017,4/30/2037
2619,Tombwe Smallholder Reforestation Project,Tombwe Processing Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Zambia,56657,Africa,3/28/2024,10/1/2019,9/30/2049
2616,BQS improved cookstoves for Burundi’s schools,Burundi Quality Stoves S.A.,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Burundi,187061,Africa,11/22/2022,,
2615,Jinjia Jiayi CMM Power Generation Project,"Guizhou Panjiang CBM Development&Utilization Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,129988,Asia,1/31/2022,1/19/2020,1/18/2030
2611,CORAZÓN VERDE DEL CHACO PROJECT,Quadriz Paraguay S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Paraguay,1272472,Latin America,3/21/2023,7/1/2020,6/30/2050
2609,KUAMUT RAINFOREST CONSERVATION PROJECT,Permian Malaysia SDN. BHD,Agriculture Forestry and Other Land Use,IFM,VM0010,Registered,Malaysia,543049,Asia,4/13/2023,12/11/2015,12/10/2045
2607,Household Energy Efficiency Programme,C-Quest Capital SG India Holdings Private Limited,Energy demand,,VMR0006,Registered,India,680100,Asia,1/19/2023,9/17/2021,9/16/2031
2608,SHINE - Distribution of LED lightbulbs in India-2,Multiple Proponents,Energy demand,,AMS-II.C.,Registered,India,55082,Asia,2/22/2022,8/12/2018,8/11/2028
2603,Composting of organic waste project in Guangxi,"Guangxi Liyuanbao Science and Technology Co., Ltd.",Waste handling and disposal,,ACM0022,Registered,China,1527835,Asia,7/8/2022,1/6/2020,1/5/2027
